sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos
6016,HP/MAN/53E02/2015/168,31.657861,77.102667,6016 HP/MAN/53E02/2015/168 Himachal Pradesh Mandi #N/A #N/A 31.657861 77.102667 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6017,HP/MAN/53E02/2015/123,31.657889,77.102667,6017 HP/MAN/53E02/2015/123 Himachal Pradesh Mandi Lag valley 31.657889 77.102667 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6018,HP/KUL/53E06/2016/86,31.658059,77.329405,6018 HP/KUL/53E06/2016/86 Himachal Pradesh Kullu N of Sharai 31.658059 77.329405 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6019,HP/KUL/53E06/2016/45,31.659024,77.387225,6019 HP/KUL/53E06/2016/45 Himachal Pradesh Kullu Sapnil 31.659024 77.387225 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6020,HP/MAN/53E02/2015/170,31.659278,77.1045,6020 HP/MAN/53E02/2015/170 Himachal Pradesh Mandi Bagi village road 31.659278 77.1045 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6021,HP/MAN/53E02/2015/169,31.659333,77.103639,6021 HP/MAN/53E02/2015/169 Himachal Pradesh Mandi Bagi village road 31.659333 77.103639 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6022,HP/MAN/53E02/2015/124,31.659639,77.10275,6022 HP/MAN/53E02/2015/124 Himachal Pradesh Mandi Lag valley 31.659639 77.10275 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6023,HP/KUL/53E06/2016/122,31.659997,77.329747,6023 HP/KUL/53E06/2016/122 Himachal Pradesh Kullu N of Ropa 31.659997 77.329747 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6024,HP/MAN/53E06/2016/10,31.661163,77.294513,6024 HP/MAN/53E06/2016/10 Himachal Pradesh Mandi Bochhari 31.661163 77.294513 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Mandi,,,,905.0,868.0,,
6029,HP/MAN/53E02/2015/171,31.662639,77.097361,6029 HP/MAN/53E02/2015/171 Himachal Pradesh Mandi Bagi village road 31.662639 77.097361 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6030,HP/MAN/53E02/2015/173,31.662917,77.096917,6030 HP/MAN/53E02/2015/173 Himachal Pradesh Mandi 31.662917 77.096917 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6031,HP/MAN/53E02/2015/125,31.662944,77.096861,6031 HP/MAN/53E02/2015/125 Himachal Pradesh Mandi Lag valley 31.662944 77.096861 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6032,HP/MAN/53E02/2015/119,31.663333,77.095833,6032 HP/MAN/53E02/2015/119 Himachal Pradesh Mandi Lag valley 31.663333 77.095833 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6033,HP/MAN/53E02/2015/120,31.663333,77.095833,6033 HP/MAN/53E02/2015/120 Himachal Pradesh Mandi Lag valley 31.663333 77.095833 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6034,HP/KUL/53E06/2016/84,31.664198,77.33112,6034 HP/KUL/53E06/2016/84 Himachal Pradesh Kullu Gushala 31.664198 77.33112 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6035,HP/KUL/53E06/2016/14,31.664402,77.335612,6035 HP/KUL/53E06/2016/14 Himachal Pradesh Kullu S of Ghatghar 31.664402 77.335612 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6036,HP/MAN/53E02/2015/175,31.664722,77.097333,6036 HP/MAN/53E02/2015/175 Himachal Pradesh Mandi 31.664722 77.097333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6037,HP/MAN/53E02/2015/174,31.664833,77.099444,6037 HP/MAN/53E02/2015/174 Himachal Pradesh Mandi 31.664833 77.099444 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6038,HP/MAN/53E06/2016/15,31.665344,77.29937,6038 HP/MAN/53E06/2016/15 Himachal Pradesh Mandi S of Bauni 31.665344 77.29937 Debris Slide NA,2016.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6039,HP/MAN/53E02/2015/172,31.665444,77.097361,6039 HP/MAN/53E02/2015/172 Himachal Pradesh Mandi Bagi village road 31.665444 77.097361 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6040,HP/KUL/53E06/2016/118,31.665695,77.308252,"6040 HP/KUL/53E06/2016/118 Himachal Pradesh Kullu Manglaur, NH 305 31.665695 77.308252 Rock cum debris Slide NA",2016.0,Himachal Pradesh,,,Debris Slide,Kullu,,,,445.0,424.0,,
6041,HP/MAN/53E06/2016/27,31.666007,77.299401,6041 HP/MAN/53E06/2016/27 Himachal Pradesh Mandi Bauni 31.666007 77.299401 Debris Slide NA,2016.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6042,HP/MAN/53E02/2015/181,31.666667,77.086778,6042 HP/MAN/53E02/2015/181 Himachal Pradesh Mandi 31.666667 77.086778 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6043,HP/KIN/53I06/2018/2,31.667555,78.459116,6043 HP/KIN/53I06/2018/2 Himachal Pradesh Kinnaur North of Spellow 31.667555 78.459116 Rock Slide NA,2018.0,Himachal Pradesh,,,Rock Slide,Kinnaur,2322.390380859375,32.90126686558123,197.06527161346068,125.0,123.0,-0.2934609415106031,-0.9559710643150818
6044,HP/MAN/53E06/2016/50,31.667562,77.302261,"6044 HP/MAN/53E06/2016/50 Himachal Pradesh Mandi N of Thanal, NH 305 31.667562 77.302261 Debris Slide NA",2016.0,Himachal Pradesh,,,Debris Slide,Kullu,,,,445.0,424.0,,
6045,HP/MAN/53E02/2015/177,31.668472,77.090667,6045 HP/MAN/53E02/2015/177 Himachal Pradesh Mandi Near Bagi 31.668472 77.090667 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6046,HP/MAN/53E02/2015/180,31.668472,77.088333,6046 HP/MAN/53E02/2015/180 Himachal Pradesh Mandi 31.668472 77.088333 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6047,HP/MAN/53E02/2015/176,31.668472,77.090667,6047 HP/MAN/53E02/2015/176 Himachal Pradesh Mandi 31.668472 77.090667 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6048,HP/MAN/53E02/2015/121,31.668556,77.088389,6048 HP/MAN/53E02/2015/121 Himachal Pradesh Mandi Lag valley 31.668556 77.088389 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6050,HP/MAN/53E02/2015/179,31.669333,77.087611,6050 HP/MAN/53E02/2015/179 Himachal Pradesh Mandi 31.669333 77.087611 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6051,HP/KUL/53E06/2016/83,31.671199,77.307046,6051 HP/KUL/53E06/2016/83 Himachal Pradesh Kullu Manjan 31.671199 77.307046 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
6052,HP/KUL/53E06/2016/117,31.671695,77.315732,6052 HP/KUL/53E06/2016/117 Himachal Pradesh Kullu S of Manglaur 31.671695 77.315732 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6053,HP/MAN/53A14/2015/347,31.671841,76.946194,"6053 HP/MAN/53A14/2015/347 Himachal Pradesh Mandi Gaira,NH 21 31.671841 76.946194 Rock Slide NA",2015.0,Himachal Pradesh,,,Rock Slide,Mandi,,,,905.0,868.0,,
6054,HP/KUL/53E06/2016/116,31.672504,77.316062,6054 HP/KUL/53E06/2016/116 Himachal Pradesh Kullu Manglaur P.F 31.672504 77.316062 Rock Slide 1996,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6055,HP/KUL/53E06/2016/109,31.67328,77.335502,6055 HP/KUL/53E06/2016/109 Himachal Pradesh Kullu N of Ghatghar 31.67328 77.335502 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
6056,HP/KUL/53E06/2016/110,31.673458,77.337767,6056 HP/KUL/53E06/2016/110 Himachal Pradesh Kullu N of Ghatghar 31.673458 77.337767 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
6057,HP/MAN/53E06/2016/49,31.674453,77.29229,"6057 HP/MAN/53E06/2016/49 Himachal Pradesh Mandi Dari,NH 305 31.674453 77.29229 Debris Subsidence NA",2016.0,Himachal Pradesh,,,,Mandi,,,,905.0,868.0,,
6058,HP/KUL/53E06/2016/66,31.675502,77.301262,6058 HP/KUL/53E06/2016/66 Himachal Pradesh Kullu Ritua 31.675502 77.301262 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6059,HP/MAN/53A14/2015/341,31.6757,76.809728,6059 HP/MAN/53A14/2015/341 Himachal Pradesh Mandi Salhaini 31.6757 76.809728 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6060,HP/KUL/53E06/2016/108,31.676184,77.300374,6060 HP/KUL/53E06/2016/108 Himachal Pradesh Kullu Ritua 31.676184 77.300374 Rock cum debris Slide NA,2016.0,Himachal Pradesh,,,Debris Slide,Kullu,,,,445.0,424.0,,
6061,HP/MAN/53A14/2015/342,31.676802,76.810506,6061 HP/MAN/53A14/2015/342 Himachal Pradesh Mandi Salhaini 31.676802 76.810506 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6062,HP/MAN/53E02/2015/108,31.677778,77.078417,6062 HP/MAN/53E02/2015/108 Himachal Pradesh Mandi Lag valley 31.677778 77.078417 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6063,HP/MAN/53E02/2015/107,31.678222,77.080639,6063 HP/MAN/53E02/2015/107 Himachal Pradesh Mandi Lag valley 31.678222 77.080639 Rock Slide NA,2015.0,Himachal Pradesh,,,Rock Slide,Mandi,,,,905.0,868.0,,
6064,HP/MAN/53E02/2015/106,31.679111,77.081333,6064 HP/MAN/53E02/2015/106 Himachal Pradesh Mandi Lag valley 31.679111 77.081333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6065,HP/KUL/53E06/2016/69,31.680469,77.297479,6065 HP/KUL/53E06/2016/69 Himachal Pradesh Kullu N of Ritua 31.680469 77.297479 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6066,HP/MAN/53E02/2015/105,31.6805,77.083333,6066 HP/MAN/53E02/2015/105 Himachal Pradesh Mandi Lag valley 31.6805 77.083333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6067,HP/MAN/53E02/2015/109,31.681194,77.086194,6067 HP/MAN/53E02/2015/109 Himachal Pradesh Mandi Lag valley 31.681194 77.086194 Rock Fall NA,2015.0,Himachal Pradesh,,,Rock Fall,Mandi,,,,905.0,868.0,,
6068,HP/MAN/53E2/2017/02,31.681417,77.086611,"6068 HP/MAN/53E2/2017/02 Himachal Pradesh Mandi Deod slide NH-21 (Near Deod Village): 31.681417 77.086611 Rock cum debris Slide 2017 Tehsil: Aut, District Mandi",2017.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6069,HP/MAN/53E02/2015/111,31.681611,77.08675,6069 HP/MAN/53E02/2015/111 Himachal Pradesh Mandi Lag valley 31.681611 77.08675 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6070,HP/MAN/53E02/2015/229,31.683639,77.077528,6070 HP/MAN/53E02/2015/229 Himachal Pradesh Mandi Bhawash road 31.683639 77.077528 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6071,HP/MAN/53E02/2015/226,31.684111,77.084194,6071 HP/MAN/53E02/2015/226 Himachal Pradesh Mandi Bhawash road 31.684111 77.084194 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6072,HP/MAN/53E2/2017/07,31.684417,77.097278,6072 HP/MAN/53E2/2017/07 Himachal Pradesh Mandi Deod-Jogini stretch of NH-21 NH-21 (Along Deod-Jogini 31.684417 77.097278 Rock Fall 2017 stretch of Pandoh-Aut Section),2017.0,Himachal Pradesh,,,Rock Fall,Mandi,,,,905.0,868.0,,
6073,HP/MAN/53E02/2015/227,31.684556,77.081944,6073 HP/MAN/53E02/2015/227 Himachal Pradesh Mandi Bhawash road 31.684556 77.081944 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6074,HP/MAN/53E02/2015/228,31.684611,77.080417,6074 HP/MAN/53E02/2015/228 Himachal Pradesh Mandi Bhawash road 31.684611 77.080417 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6075,HP/MAN/53E06/2016/111,31.686235,77.336237,6075 HP/MAN/53E06/2016/111 Himachal Pradesh Mandi Trilokpur 31.686235 77.336237 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
6076,HP/MAN/53A14/2015/289,31.686664,76.917529,"6076 HP/MAN/53A14/2015/289 Himachal Pradesh Mandi South of pajnet,SH 32 31.686664 76.917529 Rock Slide NA",2015.0,Himachal Pradesh,,,Rock Slide,Mandi,,,,905.0,868.0,,
6077,HP/KUL/53E06/2016/60,31.687348,77.304498,6077 HP/KUL/53E06/2016/60 Himachal Pradesh Kullu N OF Gopalpur 31.687348 77.304498 Rock cum debris Slide NA,2016.0,Himachal Pradesh,,,Debris Slide,Kullu,,,,445.0,424.0,,
6078,HP/KUL/53E06/2016/67,31.688004,77.295602,6078 HP/KUL/53E06/2016/67 Himachal Pradesh Kullu Bunga 31.688004 77.295602 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6079,HP/MAN/53E02/2015/230,31.689194,77.084639,6079 HP/MAN/53E02/2015/230 Himachal Pradesh Mandi Bhawash road 31.689194 77.084639 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
