sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos,nearest_road_km,nearest_settlement_km,road_exposure_score,settlement_exposure_score,exposure_score,priority_score,priority_level
11559,KA/DAK/48O08/2017/78,13.078177,75.456289,11559 KA/DAK/48O08/2017/78 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.078177 75.456289 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,498.8285827636719,14.574618222557383,309.1418484944484,131.0,128.0,-0.7755855582714384,0.6312424588070588,,,0,0,0.0,15.789169741103832,ROUTINE
11560,KA/CHI/48O08/2017/55,13.0783,75.472707,11560 KA/CHI/48O08/2017/55 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.0783 75.472707 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,688.769775390625,21.18799763433219,92.03961677495732,131.0,128.0,0.9993664571014726,-0.0355905102583599,,,0,0,0.0,22.953664103859875,ROUTINE
11561,KA/DAK/48O08/2017/79,13.078566,75.456008,11561 KA/DAK/48O08/2017/79 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.078566 75.456008 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,498.8812561035156,17.798649396306025,246.10227241220537,131.0,128.0,-0.9142700228660354,-0.4051053261665898,,,0,0,0.0,19.281870179331527,ROUTINE
11562,KA/CHI/48O08/2017/54,13.078608,75.470159,11562 KA/CHI/48O08/2017/54 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.078608 75.470159 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,718.3274536132812,15.08795594695379,53.87655422816664,131.0,128.0,0.8077487136219846,0.5895269422528788,,,0,0,0.0,16.34528560919994,ROUTINE
11563,KA/DAK/48O08/2017/80,13.078949,75.455903,11563 KA/DAK/48O08/2017/80 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.078949 75.455903 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,489.8688354492188,16.130148736725758,256.38944631963494,131.0,128.0,-0.971917671742963,-0.2353211408984286,,,0,0,0.0,17.47432779811957,ROUTINE
11564,KA/CHI/48O08/2017/53,13.079058,75.469755,11564 KA/CHI/48O08/2017/53 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.079058 75.469755 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,729.9194946289062,18.2422706748651,74.3756848557623,131.0,128.0,0.9630483560573858,0.2693285426670677,,,0,0,0.0,19.762459897770526,ROUTINE
11565,KA/DAK/48O08/2017/64,13.079364,75.464196,11565 KA/DAK/48O08/2017/64 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.079364 75.464196 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,618.9300537109375,25.018287055960144,174.08536238626084,131.0,128.0,0.1030466546889364,-0.9946765237791728,,,0,0,0.0,27.103144310623488,MONITOR
11566,KA/DAK/48O08/2017/63,13.079549,75.464559,11566 KA/DAK/48O08/2017/63 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.079549 75.464559 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,617.0440673828125,22.57650772367362,164.96711887017818,131.0,128.0,0.2593733318068362,-0.9657771351338884,,,0,0,0.0,24.45788336731309,ROUTINE
11567,KA/CHI/48O08/2017/52,13.079637,75.469516,11567 KA/CHI/48O08/2017/52 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.079637 75.469516 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,736.3214111328125,20.91775550311529,65.65563492550353,131.0,128.0,0.911084361035574,0.4122199498767618,,,0,0,0.0,22.66090179504157,ROUTINE
11568,KA/DAK/48O08/2017/62,13.079733,75.464753,11568 KA/DAK/48O08/2017/62 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.079733 75.464753 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,621.86962890625,28.363533719189896,145.8308846372089,131.0,128.0,0.5616374678524002,-0.8273834387418835,,,0,0,0.0,30.727161529122387,MONITOR
11569,KA/DAK/48O08/2017/51,13.080787,75.469624,11569 KA/DAK/48O08/2017/51 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.080787 75.469624 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,719.8966064453125,18.178963255789224,105.75044247965718,131.0,128.0,0.9624531401644852,-0.2714478826359155,,,0,0,0.0,19.69387686043833,ROUTINE
11570,KA/DAK/48O08/2017/50,13.084009,75.470221,11570 KA/DAK/48O08/2017/50 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.084009 75.470221 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,717.8411254882812,16.185112847915487,160.88844402988957,131.0,128.0,0.327408478810233,-0.9448828964496973,,,0,0,0.0,17.53387225190845,ROUTINE
11571,KA/CHI/48O08/2017/49,13.084891,75.472348,11571 KA/CHI/48O08/2017/49 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.084891 75.472348 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,733.3848876953125,25.171703993019893,166.99261273751915,131.0,128.0,0.2250766800066174,-0.9743410532853468,,,0,0,0.0,27.269345992438215,MONITOR
